Date,Name of State,Susceptible,Total predicted cases,Death Rate (Predicted),Recovery Rate (Predicted),Population Share,Action,Normalized Action,Reward
01-09-2020,Assam,30885978,251754,1.029973704,45.49679449,15.9754566,0,0,30863978
01-09-2020,Delhi,16165867,494104,1.029945113,46.22893156,8.59445833,0,0,16147467
01-09-2020,Jharkhand,32819208,133576,1.029376535,45.96409535,16.8880236,0.00220501,13.98354,32726665.85
01-09-2020,Maharashtra,106380541,4631183,1.030103971,43.0974548,57.5291825,0.0135636,86.01646,104926239.1
01-09-2020,Nagaland,1943497,27048,1.027802425,43.34516415,1.01287901,0,0,1923197
02-09-2020,Assam,30866744,266936,1.029834867,45.50566428,15.9754566,0.00815623,55.05071,30616011.68
02-09-2020,Delhi,16130100,522733,1.029971324,46.26051923,8.59445833,0.00241236,16.28229,16091235.23
02-09-2020,Jharkhand,32809212,141489,1.029762031,45.96894458,16.8880236,0.00424726,28.667,32670158.12
02-09-2020,Maharashtra,105991154,4935595,1.030088571,43.14478801,57.5291825,0,0,105991154
02-09-2020,Nagaland,1941204,28826,1.02685076,43.36363006,1.01287901,0,0,1941204
02-09-2020,Assam,30866744,266936,1.029834867,45.50566428,15.9754566,0.00815623,55.05071,30616011.68
02-09-2020,Delhi,16130100,522733,1.029971324,46.26051923,8.59445833,0.00241236,16.28229,16091235.23
02-09-2020,Jharkhand,32809212,141489,1.029762031,45.96894458,16.8880236,0.00424726,28.667,32670158.12
02-09-2020,Maharashtra,105991154,4935595,1.030088571,43.14478801,57.5291825,0,0,105991154
02-09-2020,Nagaland,1941204,28826,1.02685076,43.36363006,1.01287901,0,0,1941204
02-09-2020,Assam,30866744,266936,1.029834867,45.50566428,15.9754566,0.00815623,55.05071,30616011.68
02-09-2020,Delhi,16130100,522733,1.029971324,46.26051923,8.59445833,0.00241236,16.28229,16091235.23
02-09-2020,Jharkhand,32809212,141489,1.029762031,45.96894458,16.8880236,0.00424726,28.667,32670158.12
02-09-2020,Maharashtra,105991154,4935595,1.030088571,43.14478801,57.5291825,0,0,105991154
02-09-2020,Nagaland,1941204,28826,1.02685076,43.36363006,1.01287901,0,0,1941204
02-09-2020,Assam,30866744,266936,1.029834867,45.50566428,15.9754566,0.00815623,55.05071,30616011.68
02-09-2020,Delhi,16130100,522733,1.029971324,46.26051923,8.59445833,0.00241236,16.28229,16091235.23
02-09-2020,Jharkhand,32809212,141489,1.029762031,45.96894458,16.8880236,0.00424726,28.667,32670158.12
02-09-2020,Maharashtra,105991154,4935595,1.030088571,43.14478801,57.5291825,0,0,105991154
02-09-2020,Nagaland,1941204,28826,1.02685076,43.36363006,1.01287901,0,0,1941204
02-09-2020,Assam,30866744,266936,1.029834867,45.50566428,15.9754566,0.00815623,55.05071,30616011.68
02-09-2020,Delhi,16130100,522733,1.029971324,46.26051923,8.59445833,0.00241236,16.28229,16091235.23
02-09-2020,Jharkhand,32809212,141489,1.029762031,45.96894458,16.8880236,0.00424726,28.667,32670158.12
02-09-2020,Maharashtra,105991154,4935595,1.030088571,43.14478801,57.5291825,0,0,105991154
