"time","S","E","I","R","Epoch"
2020-10-24,42192263.748139,14012900.5599432,60894322.2292471,75810897.0826707,6
2020-10-25,39805864.0597825,13544576.0187013,60708607.8270133,78851335.7145029,6
2020-10-26,37494547.14935,13096098.6320805,60439371.6877737,81880366.1507958,6
2020-10-27,35257993.04263,12664025.5362159,60094354.641606,84894010.3995481,6
2020-10-28,33096886.8359232,12244654.0818207,59680192.8180302,87888649.8842258,6
2020-10-29,31012675.128296,11834290.6644327,59202447.1057672,90860970.7215041,6
2020-10-30,29007315.9356885,11429474.9122431,58665681.0427452,93807911.7293232,6
2020-09-17,174819489.072427,3764257.85493015,7783639.59563305,6542997.09701006,5
2020-09-18,172745094.444516,4934835.74105502,8286604.61695199,6943848.81747662,5
2020-09-19,170553438.23666,5992922.38519278,8989049.50566599,7374973.4924814,5
2020-09-20,168206616.421044,6993644.05553432,9864492.19222252,7845630.95119875,5
2020-09-21,165676013.894234,7973454.21217863,10896880.8316776,8364034.68190968,5
2020-09-22,162940233.72101,8955490.66650837,12076882.4218182,8937776.81066349,5
2020-09-23,159983978.935984,9953063.5032438,13399246.9202851,9574094.26048724,5
2020-09-24,156797555.443157,10971934.8943462,14860871.3119918,10280021.9705052,5
2020-09-25,153376766.72127,12011822.767957,16459332.0604602,11062462.0703126,5
2020-09-26,149723026.679203,13067427.3131405,18191741.693958,11928187.9336987,5
2020-09-27,145843544.815877,14129205.1091887,20053835.5372841,12883798.1576499,5
2020-09-28,141751462.954347,15184037.2570438,22039255.5391898,13935627.8694197,5
2020-09-29,137465828.356872,16215929.7550855,24138995.2662309,15089630.2418115,5
2020-09-30,133011327.852142,17206794.3719087,26341027.6830448,16351233.7129048,5
2020-10-01,128417719.52871,18137360.3097956,28630118.2155215,17725185.565973,5
2020-10-02,123718932.287307,18988210.5525494,30987849.5737434,19215391.2064001,5
2020-10-03,118951872.961848,19740894.6037644,33392856.0236842,20824760.0307037,5
2020-10-04,114154973.951519,20379061.2601345,35821279.8819396,22555068.5264064,5
2020-10-05,109366599.192094,20889506.6218589,38247426.5815636,24406851.2244832,5
2020-10-06,104623429.990513,21263040.2811518,40644583.7832671,26379329.5650685,5
2020-10-07,99958961.3045172,21495097.5629496,42985943.1115167,28470381.6410165,5
2020-10-08,95402248.2772291,21585989.7574619,45245581.8919037,30676563.6934053,5
2020-10-09,90976990.3693714,21540818.66885,47399397.2204281,32993177.3613504,5
2020-10-10,86701017.4643116,21369038.4405611,49425944.925856,35414382.7892713,5
