"time","S","E","I","R","Epoch"
2020-10-13,75454391.0805666,20297501.166518,54642174.3935169,43244956.8773486,6
2020-10-14,71822810.6813155,19776312.0494096,56027464.3772495,46012436.4099754,6
2020-10-15,68349167.5744384,19210137.238218,57234981.1161158,48844737.5891778,6
2020-10-16,65024582.1516607,18615445.538114,58266005.9182112,51732989.9099642,6
2020-10-17,61838724.5606548,18006919.5048862,59124913.0093062,54668466.4431029,6
2020-10-18,58780662.5061818,17397025.8154013,59818610.4266037,57642724.7697632,6
2020-10-19,55839582.2644013,16795780.7667599,60355941.7258625,60647718.7609263,6
2020-10-20,53005364.407023,16210691.2913321,60747087.4920359,63675880.327559,6
2020-10-21,50269009.4127077,15646842.3216108,61002999.8698502,66720171.9137814,6
2020-10-22,47622920.6792783,15107096.7886617,61134893.9231787,69774112.1268313,6
2020-10-23,45061055.7603209,14592376.420858,61153813.6809734,72831777.6557977,6
2020-10-24,42578965.5467449,14101991.5395789,61070280.8123569,75887785.6192694,6
2020-10-25,40173739.215127,13633993.6539026,60894030.1867239,78937260.4621966,6
2020-10-26,37843874.6498305,13185529.124072,60633829.9609565,81975789.7830909,6
2020-10-27,35589093.8789174,12753175.9344785,60297380.5425961,84999373.161958,6
2020-10-28,33410121.2126541,12333250.8762836,59891283.7054357,88004367.7235768,6
2020-10-29,31308440.4555589,11922077.9568231,59421071.3975976,90987433.7079705,6
2020-10-30,29286045.4022466,11516212.3985625,58891282.9860893,93945482.7310516,6
2020-09-17,175548867.344115,3763591.66091185,7783568.63139049,6542995.88153279,5
2020-09-18,173475187.052968,4933649.13844798,8286347.51635727,6943839.81017693,5
2020-09-19,171284247.966601,5991310.01303795,8988520.39760498,7374945.14070609,5
2020-09-20,168938152.198984,6991677.57702377,9863625.79517767,7845567.94676471,5
2020-09-21,166408273.529963,7971202.17831414,10895628.9235414,8363918.88613123,5
2020-09-22,163673188.02105,8953033.43196833,12075213.9680993,8937588.0968324,5
2020-09-23,160717556.028688,9950505.17298814,13397150.8833616,9573811.43291228,5
2020-09-24,157531624.831923,10969413.2933586,14858361.5129858,10279623.8796823,5
2020-09-25,154111123.129027,12009517.7233834,16456453.6532706,11061929.0122689,5
2020-09-26,150457374.165884,13065567.1209049,18188578.8298978,11927503.4012628,5
2020-09-27,146577481.979737,14128070.8115358,20050519.7259014,12882951.0007762,5
2020-09-28,142484470.429923,15183964.0133299,22035974.199078,13934614.8756188,5
2020-09-29,138197259.881605,16217304.7136462,24135999.7859742,15088459.1367241,5
2020-09-30,133740406.227616,17210050.5041926,26338640.2492288,16349926.5369129,5
2020-10-01,129143538.591793,18142965.9433486,28628736.6378677,17723782.3449409,5
2020-10-02,124440465.638671,18996654.7940926,30987949.2881371,19213953.7970488,5
2020-10-03,119667989.428546,19752669.3607378,33394988.7441053,20823375.9845604,5
2020-10-04,114864459.291234,20394641.0144409,35826068.4269706,22553854.7853046,5
2020-10-05,110068182.623981,20909327.6606,38255555.7762779,24405957.4570908,5
2020-10-06,105315813.8248,21287480.9807615,40656787.7422749,26378940.9701134,5
2020-10-07,100640851.902979,21524461.3568966,43002989.2273555,28470721.0307193,5
2020-10-08,96072385.2715328,21620492.9541419,45268252.5721334,30677892.7201418,5
2020-10-09,91634172.6517848,21580583.3980162,47428470.6926721,32995796.7754768,5
2020-10-10,87344123.97306,21414091.1221839,49462176.6600919,35418631.762614,5
2020-10-11,83214194.6457372,21133998.9371152,51351226.6204383,37939603.3146592,5
2020-10-12,79250655.0630457,20755988.0146127,53081277.0134585,40551103.4268331,5
2020-10-13,75454673.3621668,20297402.2270313,54642040.1201723,43244907.8085795,5
2020-10-14,71823121.110953,19776206.1840848,56027315.9462777,46012380.2766345,5
2020-10-15,68349507.2917582,19210024.7171255,57234817.8431668,48844673.6658994,5
2020-10-16,65024952.0661173,18615326.7894524,58265827.2227354,51732917.4396449,5
2020-10-17,61839125.3025029,18006795.1296463,59124718.4430048,54668384.6427959,5
2020-10-18,58781094.378922,17396896.5979383,59818399.7030607,57642632.838029,5
2020-10-19,55840045.2011606,16795647.6797882,60355714.7503285,60647615.8866727,5
2020-10-20,53005857.933545,16210555.4939835,60746844.3900725,63675765.700349,5
2020-10-21,50269532.6195394,15646705.1494927,61002741.0134036,66720044.7355142,5
2020-10-22,47623472.2055782,15106959.7352631,61134619.9524784,69773971.6246302,5
2020-10-23,45061633.7911399,14592241.1102343,61153525.5207205,72831623.0958553,5
2020-10-24,42579567.8250043,14101859.6908641,61069979.6807515,75887616.3213301,5
2020-10-25,40174363.0687059,13633867.0388153,60893717.5961436,78937075.8142853,5
2020-10-26,37844517.0333111,13185409.5191497,60633507.7094404,81975589.2560487,5
2020-10-27,35589751.4287091,12753065.0701948,60297050.6957331,84999156.323313,5
2020-10-28,33410790.3134831,12333150.3854586,59890948.5687387,88004134.2502697,5
2020-10-29,31309117.315727,11921989.3248129,59420733.479938,90987183.3974721,5
2020-10-30,29286726.1346561,11516136.9176116,58890944.9552333,93945215.5104492,5
2020-09-17,175548867.322092,3763591.68080933,7783568.63348051,6542995.88156835,4
2020-09-18,173475187.007714,4933649.17563338,8286347.52415623,6943839.810446,4
2020-09-19,171284247.895653,5991310.0665169,8988520.41420676,7374945.14157299,4
2020-09-20,168938152.09908,6991677.64670273,9863625.8234264,7845567.9487413,4
2020-09-21,166408273.397407,7971202.26450325,10895628.9661715,8363918.88986853,4
2020-09-22,163673187.852047,8953033.53500322,12075214.0277829,8937588.10311654,4
2020-09-23,160717555.819685,9950505.29291994,13397150.962684,9573811.44266108,4
2020-09-24,157531624.579965,10969413.4296811,14858361.6143645,10279623.8939391,4
2020-09-25,154111122.832144,12009517.8747904,16456453.7788251,11061929.0321909,4
2020-09-26,150457373.823488,13065567.2850798,18188578.9812801,11927503.4281025,4
2020-09-27,146577481.593012,14128070.9849872,20050519.9040978,12882951.035853,4
2020-09-28,142484470.002177,15183964.1913001,22035974.4041925,13934614.92028,4
2020-09-29,138197259.418524,16217304.890116,24136000.0170144,15088459.1922959,4
2020-09-30,133740405.737388,17210050.6720069,26338640.5039151,16349926.6046403,4
2020-10-01,129143538.085054,18142966.094485,28628736.9124915,17723782.4259196,4
2020-10-02,124440465.12823,18996654.9200736,30987949.5774948,19213953.8921519,4
2020-10-03,119667988.928881,19752669.4531727,33394989.0415325,20823376.0943637,4
2020-10-04,114864458.817775,20394641.0656635,35826068.7244941,22553854.9100174,4
2020-10-05,110068182.192217,20909327.6643413,38255556.0648957,24405957.5964963,4
2020-10-06,105315813.449282,21287480.9327867,40656788.0123537,26378941.1235273,4
2020-10-07,100640851.596326,21524461.255526,43002989.4691286,28470721.1969699,4
2020-10-08,96072385.0435293,21620492.8005818,45268252.7762615,30677892.8975774,4
2020-10-09,91634172.5086753,21580583.1964531,47428470.8508204,32995796.9620013,4
2020-10-10,87344123.9171211,21414090.8796091,49462176.7654688,35418631.9557511,4
2020-10-11,83214194.6751629,21133998.662898,51351226.668248,37939603.5116412,4
2020-10-12,79250655.1721562,20755987.7198618,53081277.0012225,40551103.6247096,4
2020-10-13,75454673.5419057,20297401.9238166,54642040.0478901,43244908.0043376,4
2020-10-14,71823121.3496081,19776205.8846032,56027315.8164151,46012380.4673236,4
2020-10-15,68349507.575824,19210024.4328972,57234817.6604785,48844673.8487504,4
2020-10-16,65024952.3812068,18615326.5306234,58265826.9939428,51732917.6121772,4
2020-10-17,61839125.6342262,18006794.9044535,59124718.176365,54668384.8029053,4
2020-10-18,58781094.7136609,17396896.4123692,59818399.4078677,57642632.9840523,4
2020-10-19,55840045.5266921,16795647.537441,60355714.4363906,60647616.0174263,4
2020-10-20,53005858.2394892,16210555.3961136,60746844.067205,63675765.8151423,4
2020-10-21,50269532.8976219,15646705.0952154,61002740.6909752,66720044.8341376,4
2020-10-22,47623472.4497276,15106959.7218695,61134619.6390298,69773971.7073233,4
2020-10-23,45061633.9974382,14592241.133579,61153525.223675,72831623.1632579,4
2020-10-24,42579567.9915253,14101859.7457821,61069979.4062218,75887616.3744209,4
2020-10-25,40174363.1952725,13633867.1195327,60893717.3488314,78937075.8543135,4
2020-10-26,37844517.1212049,13185409.6196605,60633507.4926216,81975589.2844631,4
2020-10-27,35589751.4803595,12753065.1845847,60297050.5113145,84999156.3416913,4
2020-10-28,33410790.3321599,12333150.5081662,59890948.4173709,88004134.2602531,4
2020-10-29,31309117.3052522,11921989.4508229,59420733.3611689,90987183.400706,4
2020-10-30,29286726.0991483,11516137.0425832,58890944.867686,93945215.5085326,4
2020-09-17,175548866.644867,3763592.29281375,7783568.69761118,6542995.88265788,3
2020-09-18,173475185.608712,4933650.3260371,8286347.76448153,6943839.81871944,3
2020-09-19,171284245.690988,5991311.73085894,8988520.92779543,7374945.16830726,3
2020-09-20,168938148.973498,6991679.83334445,9863626.70122141,7845568.00988591,3
2020-09-21,166408269.209612,7971205.00368532,10895630.2987623,8363919.00589073,3
2020-09-22,163673182.438517,8953036.87132871,12075215.9090213,8937588.2990832,3
2020-09-23,160717548.99786,9950509.27979239,13397153.4918372,9573811.74846074,3
2020-09-24,157531616.151373,10969418.1248327,14858364.8971612,10279624.3445832,3
2020-09-25,154111112.585904,12009523.3362933,16456457.9276096,11061929.668143,3
2020-09-26,150457361.540491,13065573.5675008,18188584.1143603,11927504.2955974,3
2020-09-27,146577467.05102,14128078.1354216,20050526.1443463,12882952.187162,3
2020-09-28,142484452.981944,15183972.2452191,22035981.8768977,13934616.4138891,3
2020-09-29,138197239.710988,16217313.8670322,24136008.8469737,15088461.0929566,3
2020-09-30,133740383.151833,17210060.5710798,26338650.8117792,16349928.9832575,3
2020-10-01,129143512.458055,18142976.8902387,28628748.8104183,17723785.3592377,3
2020-10-02,124440436.333026,18996666.5585362,30987963.1641785,19213957.462209,3
2020-10-03,119667956.884727,19752681.848772,33395004.3967672,20823380.3876835,3
2020-10-04,114864423.498697,20394654.0992439,35826085.9034875,22553860.0165219,3
2020-10-05,110068143.634512,20909341.1826998,38255575.0926028,24405963.6081352,3
